Data;1 - Taxa de câmbio - Livre - Dólar americano (venda) - diário - u.m.c./US$
04/07/2006;2,1646
05/07/2006;2,1955
06/07/2006;2,184
07/07/2006;2,1765
10/07/2006;2,175
11/07/2006;2,1859
12/07/2006;2,1915
13/07/2006;2,2106
14/07/2006;2,213
17/07/2006;2,2126
18/07/2006;2,1962
19/07/2006;2,181
20/07/2006;2,1895
21/07/2006;2,1935
24/07/2006;2,1916
25/07/2006;2,1993
26/07/2006;2,1984
27/07/2006;2,1899
28/07/2006;2,18
31/07/2006;2,1762
01/08/2006;2,1905
02/08/2006;2,1821
03/08/2006;2,1835
04/08/2006;2,172
07/08/2006;2,1793
08/08/2006;2,1839
09/08/2006;2,1687
10/08/2006;2,1628
11/08/2006;2,1616
14/08/2006;2,1605
15/08/2006;2,148
16/08/2006;2,1329
17/08/2006;2,1365
18/08/2006;2,1456
21/08/2006;2,1361
22/08/2006;2,1355
23/08/2006;2,1354
24/08/2006;2,1523
25/08/2006;2,1571
28/08/2006;2,1473
29/08/2006;2,1419
30/08/2006;2,133
31/08/2006;2,1388
01/09/2006;2,1468
04/09/2006;2,1282
05/09/2006;2,1288
06/09/2006;2,1443
08/09/2006;2,1582
11/09/2006;2,1751
12/09/2006;2,1732
13/09/2006;2,17
14/09/2006;2,1593
15/09/2006;2,154
18/09/2006;2,1453
19/09/2006;2,1518
20/09/2006;2,169
21/09/2006;2,1969
22/09/2006;2,2177
25/09/2006;2,2188
26/09/2006;2,198
27/09/2006;2,186
28/09/2006;2,1793
29/09/2006;2,1742
02/10/2006;2,1623
03/10/2006;2,1655
04/10/2006;2,1676
05/10/2006;2,1629
06/10/2006;2,1636
09/10/2006;2,1588
10/10/2006;2,1497
11/10/2006;2,1546
13/10/2006;2,1419
16/10/2006;2,1331
17/10/2006;2,1361
18/10/2006;2,1339
19/10/2006;2,1387
20/10/2006;2,1457
23/10/2006;2,1391
24/10/2006;2,1467
25/10/2006;2,151
26/10/2006;2,1363
27/10/2006;2,1378
30/10/2006;2,1456
